%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status_list0.goal_id.stamp,field.status_list0.goal_id.id,field.status_list0.status,field.status_list0.text
1780307362021974831,4796,1780307362021566333,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307362221889570,4797,1780307362221558782,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307362421881342,4798,1780307362421547377,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307362621925771,4799,1780307362621555295,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307362821858636,4800,1780307362821553630,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307363022251875,4801,1780307363021543683,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307363221867910,4802,1780307363221561706,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307363422033956,4803,1780307363421647594,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307363621819734,4804,1780307363621534156,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307363822104169,4805,1780307363821554574,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307364021840675,4806,1780307364021546659,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307364222329280,4807,1780307364221553691,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307364421955732,4808,1780307364421649476,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307364621850315,4809,1780307364621529162,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307364822007559,4810,1780307364821616874,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307365022098708,4811,1780307365021542499,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307365221998291,4812,1780307365221608439,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307365424983405,4813,1780307365422958468,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307365621866312,4814,1780307365621551409,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307365821932043,4815,1780307365821621673,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307366023063734,4816,1780307366021559485,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307366222466797,4817,1780307366221559018,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307366421837775,4818,1780307366421529227,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307366622013978,4819,1780307366621500894,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307366821845955,4820,1780307366821541938,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307367023031189,4821,1780307367021835800,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307367227232890,4822,1780307367226861111,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
1780307367422102266,4823,1780307367421659913,,1780306886892041203,/move_base-3-1780306886.892041203,3,Goal reached.
