%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1780307518585198175,-0.2,-0.649155042572,0.0,0.0,0.0,-0.45592513549
1780307518772467240,-0.00644195297989,-0.641519038089,0.0,0.0,0.0,0.1998324663
1780307518934765226,0.0364585142195,-0.787402991423,0.0,0.0,0.0,-0.102027835759
1780307519172634642,-0.0787639315062,-0.710828151141,0.0,0.0,0.0,-0.660404909382
1780307519392997505,-0.103074798581,-0.630412576433,0.0,0.0,0.0,-0.634298822381
1780307519558620662,-0.127878118432,-0.488285662824,0.0,0.0,0.0,-0.495013170253
1780307519736762511,-0.123306834222,-0.518197919329,0.0,0.0,0.0,-0.562003430144
1780307519890398550,0.29047935057,-0.46881974816,0.0,0.0,0.0,-0.546465296308
1780307520077038540,0.53627284737,-0.512008503955,0.0,0.0,0.0,-0.4599218549
1780307520288949148,0.748389814636,-0.417049897247,0.0,0.0,0.0,-0.721732754702
1780307520501287681,0.8,-0.354361138903,0.0,0.0,0.0,-0.974332645389
1780307520699223734,0.8,-0.245079705762,0.0,0.0,0.0,-0.845560332279
1780307520865178982,0.743537570039,-0.165963913512,0.0,0.0,0.0,-0.622121800284
1780307521061401615,0.774449898729,-0.0189320123847,0.0,0.0,0.0,-0.604753819442
1780307521253874588,0.8,-0.0511736718123,0.0,0.0,0.0,-0.633570451076
1780307521455237690,0.8,0.118834275677,0.0,0.0,0.0,-0.523952898347
1780307521654053292,0.8,0.20749696047,0.0,0.0,0.0,-0.285916268833
1780307521846059746,0.8,0.244679421136,0.0,0.0,0.0,-0.0795951673439
